MANHANVIEN,MABOPHAN,MACHINHANH,NGAYVAOLAM,NGAYNGHIVIEC,HESOLUONG
NV00000178,BOPHAN0001,CN00000001,2016-06-03,2016-09-06,1.16
NV00000095,BOPHAN0001,CN00000004,2011-08-01,2013-09-04,1.08
NV00000052,BOPHAN0001,CN00000004,2018-03-05,,1.61
NV00000007,BOPHAN0002,CN00000010,2013-01-14,2013-09-29,1.15
NV00000080,BOPHAN0003,CN00000003,2010-02-24,,1.81
NV00000152,BOPHAN0002,CN00000009,2010-08-08,,1.72
NV00000200,BOPHAN0002,CN00000010,2014-12-25,2015-04-25,1.86
NV00000093,BOPHAN0002,CN00000007,2014-12-21,,1.55
NV00000183,BOPHAN0004,CN00000005,2013-09-04,,1.15
NV00000167,BOPHAN0003,CN00000007,2014-11-06,2015-10-14,1.16
NV00000010,BOPHAN0001,CN00000002,2017-06-22,,1.94
NV00000065,BOPHAN0001,CN00000002,2015-02-14,,1.61
NV00000013,BOPHAN0003,CN00000008,2019-02-15,2021-03-29,1.11
NV00000194,BOPHAN0002,CN00000010,2019-06-07,2020-04-25,1.64
NV00000010,BOPHAN0002,CN00000008,2014-02-03,2014-07-23,1.02
NV00000085,BOPHAN0001,CN00000010,2015-07-20,2016-11-27,1.46
NV00000124,BOPHAN0003,CN00000010,2013-05-28,,1.2
NV00000146,BOPHAN0001,CN00000010,2014-05-31,,1.14
NV00000174,BOPHAN0004,CN00000008,2019-07-04,,1.74
NV00000157,BOPHAN0004,CN00000005,2013-01-16,2014-06-23,1.66
NV00000149,BOPHAN0002,CN00000002,2018-07-27,,1.17
NV00000028,BOPHAN0003,CN00000007,2015-09-17,,1.66
NV00000089,BOPHAN0002,CN00000009,2015-03-09,,1.19
NV00000197,BOPHAN0002,CN00000001,2016-01-31,,1.27
NV00000042,BOPHAN0003,CN00000002,2016-10-30,2017-09-11,1.63
NV00000052,BOPHAN0004,CN00000007,2018-04-13,,1.81
NV00000140,BOPHAN0001,CN00000001,2016-02-12,2018-02-07,1.57
NV00000193,BOPHAN0004,CN00000007,2017-09-28,2018-05-03,1.53
NV00000139,BOPHAN0001,CN00000004,2013-01-16,,1.75
NV00000126,BOPHAN0004,CN00000004,2014-11-11,,1.57
NV00000069,BOPHAN0002,CN00000007,2018-02-10,2018-11-16,1.83
NV00000199,BOPHAN0004,CN00000009,2011-09-24,,1.11
NV00000052,BOPHAN0003,CN00000008,2017-09-13,2018-08-01,1.95
NV00000039,BOPHAN0004,CN00000009,2012-04-04,,1.07
NV00000049,BOPHAN0002,CN00000008,2019-10-04,,1.65
NV00000102,BOPHAN0002,CN00000010,2014-08-11,2015-10-13,1.55
NV00000195,BOPHAN0004,CN00000010,2014-12-24,,1.83
NV00000141,BOPHAN0004,CN00000009,2010-01-22,,1.12
NV00000102,BOPHAN0003,CN00000001,2016-04-30,2017-11-17,1.42
NV00000114,BOPHAN0002,CN00000010,2015-11-26,2016-08-28,1.39
NV00000045,BOPHAN0002,CN00000005,2017-12-06,,1.79
NV00000113,BOPHAN0001,CN00000001,2019-06-17,,1.8
NV00000033,BOPHAN0002,CN00000001,2013-11-04,2014-10-09,1.58
NV00000090,BOPHAN0004,CN00000010,2018-07-31,2020-03-05,1.25
NV00000098,BOPHAN0002,CN00000001,2012-12-11,,1.86
NV00000153,BOPHAN0004,CN00000007,2012-02-11,,1.7
NV00000030,BOPHAN0003,CN00000008,2012-05-22,,1.49
NV00000190,BOPHAN0002,CN00000009,2015-04-14,,1.11
NV00000065,BOPHAN0003,CN00000005,2011-06-08,2013-03-06,1.05
NV00000099,BOPHAN0001,CN00000002,2014-01-29,,1.22
NV00000187,BOPHAN0003,CN00000010,2013-05-04,,1.25
NV00000160,BOPHAN0003,CN00000005,2018-04-11,,1.26
NV00000191,BOPHAN0001,CN00000002,2018-01-22,2020-09-29,1.36
NV00000104,BOPHAN0001,CN00000008,2010-08-07,,1.84
NV00000110,BOPHAN0002,CN00000007,2013-06-03,2014-10-06,1.22
NV00000081,BOPHAN0001,CN00000008,2015-04-05,2015-08-21,1.36
NV00000145,BOPHAN0003,CN00000008,2018-01-14,,1.62
NV00000129,BOPHAN0002,CN00000004,2013-04-28,2013-09-06,1.52
NV00000198,BOPHAN0002,CN00000006,2011-08-24,2012-06-07,1.1
NV00000096,BOPHAN0003,CN00000007,2019-04-26,,1.25
NV00000013,BOPHAN0003,CN00000007,2018-02-16,,1.44
NV00000077,BOPHAN0004,CN00000004,2012-12-07,,1.39
NV00000111,BOPHAN0003,CN00000006,2011-11-20,,1.16
NV00000123,BOPHAN0001,CN00000010,2017-04-30,2018-03-31,1.56
NV00000101,BOPHAN0001,CN00000005,2011-10-24,2012-11-05,1.97
NV00000170,BOPHAN0002,CN00000005,2012-08-29,,1.01
NV00000167,BOPHAN0004,CN00000009,2010-11-09,,1.35
NV00000009,BOPHAN0002,CN00000010,2013-06-17,2014-02-25,1.67
NV00000033,BOPHAN0002,CN00000006,2015-08-19,2016-04-30,1.41
NV00000089,BOPHAN0003,CN00000001,2012-07-08,2013-09-20,1.95
NV00000153,BOPHAN0001,CN00000009,2012-06-07,2012-06-27,1.68
NV00000177,BOPHAN0001,CN00000002,2010-12-12,2011-12-03,1.36
NV00000164,BOPHAN0002,CN00000009,2015-03-04,,1.76
NV00000035,BOPHAN0002,CN00000007,2018-12-13,2019-04-18,1.83
NV00000121,BOPHAN0003,CN00000002,2016-08-26,2017-09-20,1.04
NV00000145,BOPHAN0002,CN00000008,2014-05-08,2016-02-04,1.62
NV00000036,BOPHAN0001,CN00000009,2012-01-27,2012-08-20,1.78
NV00000178,BOPHAN0003,CN00000006,2012-01-03,,1.96
NV00000035,BOPHAN0002,CN00000008,2014-02-28,2015-11-06,1.16
NV00000039,BOPHAN0003,CN00000010,2018-10-11,2021-02-21,1.67
NV00000008,BOPHAN0002,CN00000005,2012-12-25,,1.43
NV00000061,BOPHAN0002,CN00000007,2010-03-29,,1.1
NV00000192,BOPHAN0001,CN00000006,2010-03-15,,1.87
NV00000071,BOPHAN0003,CN00000005,2011-06-26,2014-02-03,1.17
NV00000065,BOPHAN0003,CN00000006,2010-06-18,,1.53
NV00000097,BOPHAN0001,CN00000009,2016-10-29,,1.59
NV00000150,BOPHAN0003,CN00000001,2016-10-16,,1.47
NV00000157,BOPHAN0002,CN00000007,2010-11-30,2010-12-30,1.34
NV00000096,BOPHAN0003,CN00000009,2018-10-17,2020-04-11,1.67
NV00000020,BOPHAN0001,CN00000009,2010-04-20,,1.05
NV00000025,BOPHAN0002,CN00000003,2019-05-30,2021-12-25,1.42
NV00000138,BOPHAN0001,CN00000010,2010-07-17,,1.73
NV00000167,BOPHAN0003,CN00000006,2010-02-22,2010-08-11,1.39
NV00000092,BOPHAN0003,CN00000001,2018-01-27,2018-12-22,1.03
NV00000104,BOPHAN0001,CN00000009,2013-06-01,2015-02-16,1.19
NV00000073,BOPHAN0002,CN00000007,2019-06-12,2021-05-01,1.68
NV00000190,BOPHAN0004,CN00000008,2013-08-06,2015-09-19,1.5
NV00000111,BOPHAN0002,CN00000010,2010-05-12,,1.99
NV00000145,BOPHAN0004,CN00000007,2013-11-26,2015-10-29,1.49
NV00000174,BOPHAN0001,CN00000008,2017-11-13,,1.72
NV00000158,BOPHAN0004,CN00000006,2014-09-25,,1.04
NV00000072,BOPHAN0004,CN00000009,2011-12-11,,1.92
NV00000045,BOPHAN0002,CN00000010,2013-04-10,,1.91
NV00000156,BOPHAN0004,CN00000002,2016-06-15,,1.88
NV00000117,BOPHAN0001,CN00000007,2014-07-03,2017-02-11,2.0
NV00000133,BOPHAN0001,CN00000004,2017-10-08,,1.31
NV00000097,BOPHAN0001,CN00000007,2014-05-16,,1.03
NV00000017,BOPHAN0003,CN00000006,2011-11-08,2013-03-29,1.18
NV00000015,BOPHAN0004,CN00000006,2019-07-30,2020-06-30,1.37
NV00000058,BOPHAN0004,CN00000008,2011-12-21,2012-09-19,1.62
NV00000032,BOPHAN0004,CN00000008,2018-05-30,,1.82
NV00000039,BOPHAN0004,CN00000007,2010-10-16,2013-06-13,1.36
NV00000063,BOPHAN0002,CN00000007,2019-08-29,,1.17
NV00000081,BOPHAN0002,CN00000003,2011-11-18,2014-02-11,1.33
NV00000031,BOPHAN0004,CN00000003,2012-08-28,2015-03-01,1.78
NV00000083,BOPHAN0001,CN00000010,2014-07-22,,1.62
NV00000133,BOPHAN0003,CN00000002,2012-12-07,,1.03
NV00000164,BOPHAN0003,CN00000002,2013-07-15,,1.9
NV00000101,BOPHAN0002,CN00000009,2012-05-24,2013-10-20,1.06
NV00000131,BOPHAN0004,CN00000008,2011-04-24,,1.6
NV00000105,BOPHAN0001,CN00000002,2017-12-01,2020-03-22,1.36
NV00000126,BOPHAN0004,CN00000002,2012-02-20,2012-03-26,1.79
NV00000060,BOPHAN0003,CN00000002,2019-12-16,,1.49
NV00000149,BOPHAN0002,CN00000005,2017-01-27,,1.67
NV00000049,BOPHAN0004,CN00000003,2013-12-18,2014-02-13,1.13
NV00000168,BOPHAN0001,CN00000005,2019-04-26,,1.82
NV00000128,BOPHAN0002,CN00000007,2014-07-25,,1.41
NV00000165,BOPHAN0002,CN00000002,2013-05-17,,1.63
NV00000051,BOPHAN0001,CN00000008,2015-02-07,2015-02-21,1.09
NV00000108,BOPHAN0002,CN00000001,2019-12-30,2020-08-20,1.79
NV00000148,BOPHAN0004,CN00000010,2016-04-17,,1.42
NV00000105,BOPHAN0003,CN00000004,2015-06-26,2015-12-04,1.13
NV00000105,BOPHAN0001,CN00000003,2018-03-31,2018-08-17,1.35
NV00000123,BOPHAN0003,CN00000008,2018-09-13,,1.42
NV00000091,BOPHAN0003,CN00000001,2014-11-13,2015-04-18,1.22
NV00000166,BOPHAN0002,CN00000007,2017-12-29,,1.38
NV00000059,BOPHAN0002,CN00000004,2017-04-16,,1.04
NV00000007,BOPHAN0004,CN00000010,2013-08-21,,1.4
NV00000195,BOPHAN0001,CN00000002,2011-12-23,2013-12-03,1.57
NV00000143,BOPHAN0001,CN00000007,2017-01-29,,1.61
NV00000106,BOPHAN0002,CN00000005,2011-08-31,,1.14
NV00000074,BOPHAN0004,CN00000001,2016-09-23,2017-02-13,1.57
NV00000058,BOPHAN0003,CN00000002,2013-12-14,,1.48
NV00000158,BOPHAN0002,CN00000006,2015-12-18,2017-04-18,1.97
NV00000187,BOPHAN0002,CN00000005,2010-04-21,2011-01-04,1.93
NV00000180,BOPHAN0002,CN00000002,2012-10-07,2013-07-17,1.8
NV00000140,BOPHAN0003,CN00000005,2016-01-18,,1.23
NV00000023,BOPHAN0003,CN00000001,2016-08-31,,1.66
NV00000032,BOPHAN0002,CN00000003,2013-09-21,,1.26
NV00000026,BOPHAN0001,CN00000005,2016-12-26,2017-12-29,1.56
NV00000107,BOPHAN0003,CN00000001,2017-07-22,,1.25
NV00000033,BOPHAN0001,CN00000007,2019-12-26,2021-09-26,1.83
NV00000140,BOPHAN0003,CN00000009,2015-07-15,2016-12-11,1.24
NV00000175,BOPHAN0001,CN00000007,2012-07-23,,1.89
NV00000099,BOPHAN0004,CN00000010,2016-04-17,,1.48
NV00000116,BOPHAN0004,CN00000004,2019-12-05,2020-04-16,1.28
NV00000124,BOPHAN0004,CN00000010,2010-06-27,,1.7
NV00000055,BOPHAN0001,CN00000010,2012-10-09,,1.9
NV00000185,BOPHAN0004,CN00000009,2015-02-04,,1.02
NV00000120,BOPHAN0003,CN00000003,2015-06-14,,1.16
NV00000158,BOPHAN0003,CN00000008,2015-04-24,2017-12-26,1.4
NV00000040,BOPHAN0002,CN00000001,2011-09-06,,1.99
NV00000068,BOPHAN0002,CN00000001,2018-07-28,2021-03-10,1.84
NV00000168,BOPHAN0002,CN00000002,2015-09-29,2018-05-22,1.83
NV00000042,BOPHAN0002,CN00000008,2019-04-15,2021-03-31,1.9
NV00000033,BOPHAN0003,CN00000004,2015-06-26,2016-05-21,1.35
NV00000114,BOPHAN0004,CN00000003,2015-11-10,2016-04-17,1.36
NV00000099,BOPHAN0004,CN00000001,2015-02-10,,1.21
NV00000069,BOPHAN0004,CN00000007,2017-05-07,2019-03-21,1.45
NV00000074,BOPHAN0002,CN00000006,2018-04-28,,1.95
NV00000104,BOPHAN0001,CN00000003,2015-04-19,2016-03-03,1.06
NV00000168,BOPHAN0004,CN00000001,2019-03-05,,1.06
NV00000136,BOPHAN0001,CN00000003,2012-04-14,,1.68
NV00000129,BOPHAN0001,CN00000003,2012-09-24,2013-11-02,1.96
NV00000010,BOPHAN0002,CN00000001,2019-02-27,,1.89
NV00000094,BOPHAN0002,CN00000006,2010-11-15,,1.62
NV00000052,BOPHAN0001,CN00000003,2011-07-23,,1.52
NV00000110,BOPHAN0004,CN00000007,2013-07-13,,1.7
NV00000066,BOPHAN0002,CN00000001,2016-06-22,,1.06
NV00000051,BOPHAN0004,CN00000006,2012-07-27,2014-04-23,1.23
NV00000160,BOPHAN0003,CN00000010,2014-01-06,,1.22
NV00000013,BOPHAN0002,CN00000002,2011-10-21,,1.31
NV00000095,BOPHAN0002,CN00000003,2017-01-08,2019-07-24,1.13
NV00000092,BOPHAN0004,CN00000009,2012-02-22,2012-02-27,1.71
NV00000091,BOPHAN0001,CN00000005,2012-03-21,2013-03-29,1.89
NV00000114,BOPHAN0004,CN00000010,2010-01-02,2010-06-19,1.08
NV00000010,BOPHAN0004,CN00000010,2015-08-12,2015-10-26,1.26
NV00000176,BOPHAN0004,CN00000008,2015-02-15,2017-05-06,1.7
NV00000054,BOPHAN0001,CN00000009,2013-07-23,,1.88
NV00000026,BOPHAN0004,CN00000008,2010-07-09,,1.98
NV00000103,BOPHAN0003,CN00000008,2014-09-06,,1.66
NV00000110,BOPHAN0002,CN00000008,2016-08-03,,1.52
NV00000125,BOPHAN0003,CN00000002,2017-04-11,,1.98
NV00000168,BOPHAN0004,CN00000004,2016-01-03,2016-05-03,1.23
NV00000019,BOPHAN0002,CN00000004,2015-03-04,2015-06-22,1.76
NV00000163,BOPHAN0004,CN00000007,2017-07-25,2018-03-07,1.59
NV00000127,BOPHAN0004,CN00000005,2013-07-22,,1.62
NV00000033,BOPHAN0003,CN00000003,2011-06-05,,1.44
NV00000087,BOPHAN0002,CN00000007,2014-08-14,,1.92
NV00000115,BOPHAN0001,CN00000001,2016-06-07,,1.33
NV00000055,BOPHAN0001,CN00000009,2014-10-24,,1.37
NV00000086,BOPHAN0002,CN00000008,2016-06-18,,1.56
NV00000156,BOPHAN0003,CN00000001,2013-04-02,,1.17
NV00000087,BOPHAN0001,CN00000003,2018-08-31,,1.39
NV00000196,BOPHAN0001,CN00000007,2017-03-14,2018-12-20,1.67
NV00000071,BOPHAN0002,CN00000003,2012-11-04,,1.39
NV00000015,BOPHAN0001,CN00000008,2017-04-28,2018-03-20,1.6
NV00000171,BOPHAN0001,CN00000008,2018-08-03,2020-04-06,1.43
NV00000119,BOPHAN0002,CN00000009,2012-02-09,2013-09-14,1.24
NV00000118,BOPHAN0002,CN00000010,2019-02-14,,1.45
NV00000095,BOPHAN0002,CN00000010,2018-07-08,2021-01-18,1.35
NV00000136,BOPHAN0004,CN00000004,2012-01-19,2012-02-17,1.46
NV00000129,BOPHAN0001,CN00000001,2016-07-23,2018-09-27,1.24
NV00000121,BOPHAN0004,CN00000004,2016-03-28,,1.03
NV00000173,BOPHAN0004,CN00000005,2012-12-08,,1.66
NV00000023,BOPHAN0003,CN00000004,2015-01-27,,1.24
NV00000187,BOPHAN0002,CN00000009,2014-02-21,,1.42
NV00000140,BOPHAN0004,CN00000002,2012-01-26,,1.04
NV00000073,BOPHAN0002,CN00000001,2013-10-08,2014-10-07,1.72
NV00000043,BOPHAN0003,CN00000010,2014-01-10,,1.71
NV00000188,BOPHAN0004,CN00000007,2011-10-28,,1.01
NV00000135,BOPHAN0004,CN00000001,2018-01-16,,1.55
NV00000073,BOPHAN0001,CN00000010,2010-03-22,2010-05-03,1.91
NV00000061,BOPHAN0003,CN00000001,2010-07-16,,1.51
NV00000095,BOPHAN0001,CN00000006,2013-02-05,,1.93
NV00000152,BOPHAN0004,CN00000008,2010-10-10,2012-10-24,1.82
NV00000001,BOPHAN0001,CN00000005,2019-10-16,2020-12-20,1.44
NV00000163,BOPHAN0003,CN00000009,2018-10-07,,1.21
NV00000054,BOPHAN0001,CN00000008,2016-12-11,2018-08-16,1.86
NV00000050,BOPHAN0004,CN00000005,2017-09-09,2018-01-03,1.42
