MADON,GIODAT,NGAYDAT,TRANGTHAI,LOAIDONDATMON,HOADONLIENQUAN,KHACHHANGDAT,MADATCHO,CHINHANHDAT,NHANVIENTAOLAP,THANHTIEN
DONDAT0121,11:44:00,2024-05-16,Successful,In-store order,HD00000001,KH00000001,DC00000001,CN00000002,NV00000002,357330.06
DONDAT0111,13:49:00,2024-06-01,Successful,Online order,HD00000002,KH00000002,DC00000002,CN00000003,NV00000003,2739807.44
DONDAT0138,19:11:00,2024-09-05,Processing,In-store order,HD00000003,KH00000003,DC00000003,CN00000004,NV00000004,2258584.84
DONDAT0129,20:56:00,2024-01-15,Successful,Online order,HD00000004,KH00000004,DC00000004,CN00000005,NV00000005,745042.65
DONDAT0175,14:45:00,2024-05-31,Successful,In-store order,HD00000005,KH00000005,DC00000005,CN00000006,NV00000006,1556094.3
DONDAT0183,20:50:00,2024-01-17,Processing,Online order,HD00000006,KH00000006,DC00000006,CN00000007,NV00000007,2167499.7
DONDAT0053,14:31:00,2024-07-12,Successful,In-store order,HD00000007,KH00000007,DC00000007,CN00000008,NV00000008,2321841.4
DONDAT0168,13:04:00,2024-07-05,Successful,Online order,HD00000008,KH00000008,DC00000008,CN00000009,NV00000009,1474989.57
DONDAT0041,15:42:00,2024-11-15,Processing,In-store order,HD00000009,KH00000009,DC00000009,CN00000010,NV00000010,963789.68
DONDAT0190,17:15:00,2024-02-16,Successful,Online order,HD00000010,KH00000010,DC00000010,CN00000011,NV00000011,2756828.0
DONDAT0025,09:47:00,2024-10-10,Successful,In-store order,HD00000011,KH00000011,DC00000011,CN00000012,NV00000012,648682.2
DONDAT0007,20:09:00,2024-01-17,Processing,Online order,HD00000012,KH00000012,DC00000012,CN00000013,NV00000013,1489868.1
DONDAT0049,14:24:00,2024-05-31,Successful,In-store order,HD00000013,KH00000013,DC00000013,CN00000014,NV00000014,3138762.5
DONDAT0087,18:31:00,2024-12-04,Successful,Online order,HD00000014,KH00000014,DC00000014,CN00000015,NV00000015,1547662.26
DONDAT0027,20:10:00,2024-06-21,Processing,In-store order,HD00000015,KH00000015,DC00000015,CN00000016,NV00000016,4999780.55
DONDAT0040,11:40:00,2024-08-10,Successful,Online order,HD00000016,KH00000016,DC00000016,CN00000017,NV00000017,1935447.94
DONDAT0078,09:54:00,2024-04-27,Successful,In-store order,HD00000017,KH00000017,DC00000017,CN00000018,NV00000018,1294439.82
DONDAT0052,11:26:00,2024-03-06,Processing,Online order,HD00000018,KH00000018,DC00000018,CN00000019,NV00000019,205198.65
DONDAT0009,15:19:00,2024-11-30,Successful,In-store order,HD00000019,KH00000019,DC00000019,CN00000020,NV00000020,4109711.16
DONDAT0179,10:00:00,2024-01-10,Successful,Online order,HD00000020,KH00000020,DC00000020,CN00000021,NV00000021,2545526.16
DONDAT0185,18:45:00,2024-02-02,Processing,In-store order,HD00000021,KH00000021,DC00000021,CN00000022,NV00000022,1488895.65
DONDAT0171,09:04:00,2024-09-23,Successful,Online order,HD00000022,KH00000022,DC00000022,CN00000023,NV00000023,2985233.58
DONDAT0042,18:55:00,2024-08-17,Successful,In-store order,HD00000023,KH00000023,DC00000023,CN00000024,NV00000024,2547172.88
DONDAT0018,10:16:00,2024-06-08,Processing,Online order,HD00000024,KH00000024,DC00000024,CN00000025,NV00000025,568121.4
DONDAT0080,18:28:00,2024-01-06,Successful,In-store order,HD00000025,KH00000025,DC00000025,CN00000026,NV00000026,1964382.64
DONDAT0072,18:18:00,2024-01-29,Successful,Online order,HD00000026,KH00000026,DC00000026,CN00000027,NV00000027,4989463.5
DONDAT0126,20:24:00,2024-06-11,Processing,In-store order,HD00000027,KH00000027,DC00000027,CN00000028,NV00000028,3661012.08
DONDAT0144,10:17:00,2024-02-08,Successful,Online order,HD00000028,KH00000028,DC00000028,CN00000029,NV00000029,7418530.8
DONDAT0020,15:25:00,2024-11-05,Successful,In-store order,HD00000029,KH00000029,DC00000029,CN00000030,NV00000030,2356276.56
DONDAT0149,09:19:00,2024-07-01,Processing,Online order,HD00000030,KH00000030,DC00000030,CN00000031,NV00000031,6406470.63
DONDAT0141,12:32:00,2024-12-05,Successful,In-store order,HD00000031,KH00000031,DC00000031,CN00000032,NV00000032,1016127.36
DONDAT0170,11:00:00,2024-08-21,Successful,Online order,HD00000032,KH00000032,DC00000032,CN00000033,NV00000033,620294.28
DONDAT0003,10:34:00,2024-01-23,Processing,In-store order,HD00000033,KH00000033,DC00000033,CN00000034,NV00000034,279072.53
DONDAT0188,11:56:00,2024-07-15,Successful,Online order,HD00000034,KH00000034,DC00000034,CN00000035,NV00000035,1455144.96
DONDAT0026,13:46:00,2024-07-28,Successful,In-store order,HD00000035,KH00000035,DC00000035,CN00000036,NV00000036,1700037.57
DONDAT0104,12:06:00,2024-04-25,Processing,Online order,HD00000036,KH00000036,DC00000036,CN00000037,NV00000037,2373229.25
DONDAT0166,13:38:00,2024-02-15,Successful,In-store order,HD00000037,KH00000037,DC00000037,CN00000038,NV00000038,410397.3
DONDAT0119,14:59:00,2024-06-26,Successful,Online order,HD00000038,KH00000038,DC00000038,CN00000039,NV00000039,669320.72
DONDAT0090,09:57:00,2024-04-20,Processing,In-store order,HD00000039,KH00000039,DC00000039,CN00000040,NV00000040,1650517.45
