MAHOADON,GIOLAP,NGAYLAP,VAT,TIENKHACHDUA,TRANGTHAI,PHUONGTHUC,BACTHETHANHVIEN,MAKHUYENMAI,TONGTIEN
HD00000001,17:51:00,2024-12-15,0.1,110000,Chưa thanh toán,Chuyển khoản,NV00001,KM00001,1522848.26
HD00000002,14:06:00,2024-08-07,0.05,120000,Đã thanh toán,Chuyển khoản,NV00002,KM00002,1172104.63
HD00000003,18:43:00,2024-03-28,0.1,130000,Chưa thanh toán,Tiền mặt,NV00003,KM00003,4577734.66
HD00000004,16:22:00,2024-06-13,0.05,140000,Đã thanh toán,Chuyển khoản,NV00004,KM00004,3304428.75
HD00000005,19:42:00,2024-11-11,0.1,150000,Chưa thanh toán,Chuyển khoản,NV00005,KM00005,680302.38
HD00000006,12:48:00,2024-10-29,0.05,160000,Đã thanh toán,Tiền mặt,NV00006,KM00006,431809.72
HD00000007,16:36:00,2024-02-20,0.1,170000,Chưa thanh toán,Chuyển khoản,NV00007,KM00007,243860.06
HD00000008,18:17:00,2024-10-23,0.05,180000,Đã thanh toán,Chuyển khoản,NV00008,KM00008,254709.34
HD00000009,17:13:00,2024-09-30,0.1,190000,Chưa thanh toán,Tiền mặt,NV00009,KM00009,1095128.75
HD00000010,13:06:00,2024-02-11,0.05,200000,Đã thanh toán,Chuyển khoản,NV00010,KM00010,1042226.96
HD00000011,17:03:00,2024-03-28,0.1,210000,Chưa thanh toán,Chuyển khoản,NV00011,KM00011,277351.34
HD00000012,19:48:00,2024-10-13,0.05,220000,Đã thanh toán,Tiền mặt,NV00012,KM00012,1076955.96
HD00000013,12:48:00,2024-04-28,0.1,230000,Chưa thanh toán,Chuyển khoản,NV00013,KM00013,3064767.73
HD00000014,18:20:00,2024-04-14,0.05,240000,Đã thanh toán,Chuyển khoản,NV00014,KM00014,474382.19
HD00000015,12:22:00,2024-05-24,0.1,250000,Chưa thanh toán,Tiền mặt,NV00015,KM00015,6851501.03
HD00000016,12:03:00,2024-08-03,0.05,260000,Đã thanh toán,Chuyển khoản,NV00016,KM00016,439241.72
HD00000017,18:34:00,2024-10-15,0.1,270000,Chưa thanh toán,Chuyển khoản,NV00017,KM00017,3810450.8
HD00000018,19:52:00,2024-02-23,0.05,280000,Đã thanh toán,Tiền mặt,NV00018,KM00018,4788180.81
HD00000019,16:31:00,2024-09-14,0.1,290000,Chưa thanh toán,Chuyển khoản,NV00019,KM00019,924225.92
HD00000020,17:40:00,2024-12-13,0.05,300000,Đã thanh toán,Chuyển khoản,NV00020,KM00020,3408501.41
HD00000021,16:35:00,2024-09-28,0.1,310000,Chưa thanh toán,Tiền mặt,NV00021,KM00021,479418.89
HD00000022,16:43:00,2024-08-31,0.05,320000,Đã thanh toán,Chuyển khoản,NV00022,KM00022,3475915.82
HD00000023,19:28:00,2024-07-08,0.1,330000,Chưa thanh toán,Chuyển khoản,NV00023,KM00023,2148858.48
HD00000024,14:10:00,2024-10-24,0.05,340000,Đã thanh toán,Tiền mặt,NV00024,KM00024,7819170.98
HD00000025,11:08:00,2024-05-05,0.1,350000,Chưa thanh toán,Chuyển khoản,NV00025,KM00025,161177.08
HD00000026,11:39:00,2024-07-04,0.05,360000,Đã thanh toán,Chuyển khoản,NV00026,KM00026,1372881.35
HD00000027,12:33:00,2024-08-25,0.1,370000,Chưa thanh toán,Tiền mặt,NV00027,KM00027,3690496.35
HD00000028,14:14:00,2024-07-24,0.05,380000,Đã thanh toán,Chuyển khoản,NV00028,KM00028,1665926.93
HD00000029,15:16:00,2024-02-27,0.1,390000,Chưa thanh toán,Chuyển khoản,NV00029,KM00029,2106650.04
HD00000030,16:24:00,2024-09-01,0.05,400000,Đã thanh toán,Tiền mặt,NV00030,KM00030,2345751.29
HD00000031,14:59:00,2024-10-14,0.1,410000,Chưa thanh toán,Chuyển khoản,NV00031,KM00031,90474.42
HD00000032,14:45:00,2024-07-26,0.05,420000,Đã thanh toán,Chuyển khoản,NV00032,KM00032,3637248.49
HD00000033,18:29:00,2024-04-14,0.1,430000,Chưa thanh toán,Tiền mặt,NV00033,KM00033,441001.48
HD00000034,16:43:00,2024-08-14,0.05,440000,Đã thanh toán,Chuyển khoản,NV00034,KM00034,1852917.32
HD00000035,11:53:00,2024-08-28,0.1,450000,Chưa thanh toán,Chuyển khoản,NV00035,KM00035,2777297.45
HD00000036,11:15:00,2024-06-10,0.05,460000,Đã thanh toán,Tiền mặt,NV00036,KM00036,833867.35
HD00000037,11:44:00,2024-08-07,0.1,470000,Chưa thanh toán,Chuyển khoản,NV00037,KM00037,1491680.08
HD00000038,11:58:00,2024-10-09,0.05,480000,Đã thanh toán,Chuyển khoản,NV00038,KM00038,5928785.21
HD00000039,19:28:00,2024-07-04,0.1,490000,Chưa thanh toán,Tiền mặt,NV00039,KM00039,2431426.54
HD00000040,09:39:00,2024-06-13,0.05,500000,Đã thanh toán,Chuyển khoản,NV00040,KM00040,2422713.14
HD00000041,16:48:00,2024-11-30,0.1,510000,Chưa thanh toán,Chuyển khoản,NV00041,KM00041,1900537.65
HD00000042,11:19:00,2024-03-07,0.05,520000,Đã thanh toán,Tiền mặt,NV00042,KM00042,4112307.49
HD00000043,11:35:00,2024-03-15,0.1,530000,Chưa thanh toán,Chuyển khoản,NV00043,KM00043,4052377.56
HD00000044,09:54:00,2024-05-27,0.05,540000,Đã thanh toán,Chuyển khoản,NV00044,KM00044,5345604.94
HD00000045,09:21:00,2024-08-28,0.1,550000,Chưa thanh toán,Tiền mặt,NV00045,KM00045,2291213.46
HD00000046,16:50:00,2024-08-10,0.05,560000,Đã thanh toán,Chuyển khoản,NV00046,KM00046,238282.81
HD00000047,12:35:00,2024-04-30,0.1,570000,Chưa thanh toán,Chuyển khoản,NV00047,KM00047,753447.05
HD00000048,19:52:00,2024-08-08,0.05,580000,Đã thanh toán,Tiền mặt,NV00048,KM00048,392439.06
HD00000049,08:22:00,2024-08-22,0.1,590000,Chưa thanh toán,Chuyển khoản,NV00049,KM00049,9180431.87
HD00000050,19:30:00,2024-07-02,0.05,600000,Đã thanh toán,Chuyển khoản,NV00050,KM00050,532714.98
HD00000051,16:29:00,2024-05-27,0.1,610000,Chưa thanh toán,Tiền mặt,NV00051,KM00051,1841120.29
HD00000052,16:51:00,2024-04-15,0.05,620000,Đã thanh toán,Chuyển khoản,NV00052,KM00052,84277.9
HD00000053,18:04:00,2024-11-25,0.1,630000,Chưa thanh toán,Chuyển khoản,NV00053,KM00053,2647800.65
HD00000054,13:05:00,2024-04-24,0.05,640000,Đã thanh toán,Tiền mặt,NV00054,KM00054,5950890.29
HD00000055,19:12:00,2024-12-14,0.1,650000,Chưa thanh toán,Chuyển khoản,NV00055,KM00055,654632.42
HD00000056,17:24:00,2024-10-06,0.05,660000,Đã thanh toán,Chuyển khoản,NV00056,KM00056,1980256.57
HD00000057,14:48:00,2024-09-01,0.1,670000,Chưa thanh toán,Tiền mặt,NV00057,KM00057,1558566.5
HD00000058,11:07:00,2024-05-07,0.05,680000,Đã thanh toán,Chuyển khoản,NV00058,KM00058,257825.22
HD00000059,17:18:00,2024-03-13,0.1,690000,Chưa thanh toán,Chuyển khoản,NV00059,KM00059,789768.48
HD00000060,17:20:00,2024-08-30,0.05,700000,Đã thanh toán,Tiền mặt,NV00060,KM00060,3444585.48
HD00000061,11:38:00,2024-01-07,0.1,710000,Chưa thanh toán,Chuyển khoản,NV00061,KM00061,659938.6
HD00000062,12:15:00,2024-01-10,0.05,720000,Đã thanh toán,Chuyển khoản,NV00062,KM00062,2418866.1
