MACHINHANH,TENCHINHANH,DIACHI,KHUVUC,THOIGIANMOCUA,THOIGIANDONGCUA,SDT,EMAIL,COBAIDOXE,NHANVIENQUANLY
CN00000001,Brown and Sons,2151 Crystal Mills Apt. 392 South Malik OH 88407,Binh Tan District,08:00:00,20:00:00,+1-945-357,dburns@example.com,0,NV00000053
CN00000002,Bridges Oneill and Acosta,9203 Hill Streets Suite 198 Cainfurt VA 27156,Cu Chi District,08:00:00,20:00:00,+1-975-555,krosario@example.com,0,NV00000064
CN00000003,Terry and Sons,23092 Cooper Radial Apt. 855 Johnstonbury MP 27965,District 5,08:00:00,20:00:00,914.465.30,gchavez@example.org,1,NV00000084
CN00000004,Lucero King and Miller,76607 Garza Junction South Gary NV 71027,District 3,08:00:00,20:00:00,001-984-97,kristy63@example.net,0,NV00000070
CN00000005,Johnson Ltd,97800 Hunter Drives Lauriechester OH 95399,Nha Be District,08:00:00,20:00:00,993-786-65,jeremytodd@example.com,0,NV00000030
CN00000006,Baker and Sons,644 Wilson Street Apt. 062 Thomastown FL 28716,Tan Binh District,08:00:00,20:00:00,258-546-75,alexandra14@example.org,1,NV00000100
CN00000007,Rodriguez Sanders and Crawford,29632 Shannon Inlet Apt. 777 North Kimberly NE 46436,Binh Thanh District,08:00:00,20:00:00,001-724-40,aharris@example.net,0,NV00000046
CN00000008,Williams Nguyen and Bridges,245 Rogers Hollow Bakerton MD 39015,District 6,08:00:00,20:00:00,001-236-54,dennisryan@example.net,1,NV00000094
CN00000009,Smith Leonard and Davis,51311 Ramos Villages East Sonyaside MN 59447,Binh Thanh District,08:00:00,20:00:00,(589)320-5,fgarcia@example.com,0,NV00000056
CN00000010,Perez Inc,87850 Jeffery Meadow Suite 870 Port Jeremytown MD 05568,District 3,08:00:00,20:00:00,001-918-60,floydjames@example.org,1,NV00000040
